la_position,pend_velocity,pend_position,cmd_volts,elapsed
0,0,-180,-0.086914,40
0,0,-180,-0.083008,40
0,0,-180,-0.088867,40
0,0,-180,-0.087891,40
0,0,-180,-0.086914,40
0,0,-180,-0.087891,40
0,0,-180,-0.094727,40
0,0,-180,-0.084961,40
0,0,-180,-0.084961,40
0,0,-180,-0.09082,39
0,0,-180,-0.085937,41
0,0,-180,-0.088867,39
0,0,-180,-0.082031,40
0,0,-180,-0.09082,40
0,0,-180,-0.084961,40
0,0,-180,-0.083008,41
0,0,-180,-0.09082,39
0,0,-180,-0.083984,40
0,0,-180,-0.09082,40
0,0,-180,-0.083008,40
0,0,-180,-1.000977,41
0.30798,58.5,-177.66,-4.996094,40
0.78474,94.5,-173.88,-4.839844,40
1.24986,83.076923,-170.64,-4.524414,39
1.73568,57.073171,-168.3,-4.37793,41
2.20914,31.5,-167.04,-4.319336,40
2.6751,-4.5,-167.22,-4.276367,40
3.1386,-27,-168.3,-4.285156,40
3.3579,-99,-172.26,4.299805,40
2.92128,-247.5,177.84,4.185547,40
2.44812,-261,167.4,3.873047,40
1.97316,-238.5,157.86,3.444336,40
1.49412,-184.5,150.48,3.211914,40
1.01448,-112.5,145.98,3.078125,40
0.5601,-46.153846,144.18,2.84668,39
0.06858,26.341463,145.26,2.785156,41
-0.40176,101.538462,149.22,3.209961,39
-0.78474,184.5,156.6,-3.060547,40
-0.38736,382.5,171.9,-3.342773,40
0.08658,423,-171.18,-3.585937,40
0.57414,403.902439,-154.62,-3.459961,41
1.04214,346.153846,-141.12,-2.712891,39
1.51872,252,-131.04,-2.179687,40
1.93986,157.5,-124.74,-1.68457,40
2.17734,36,-123.3,-1.591797,40
2.4309,-74.634146,-126.36,-1.845703,41
2.49522,-202.5,-134.46,1.961914,40
2.15004,-351,-148.5,1.824219,40
1.85094,-414,-165.06,2.117187,40
1.48938,-456.923077,177.12,2.751953,39
1.02498,-460.97561,158.22,2.915039,41
0.59586,-409.5,141.84,2.230469,40
0.27012,-315,129.24,1.883789,40
-0.02676,-207,120.96,1.857422,40
-0.3048,-96.923077,117.18,1.580078,39
-0.54678,21.95122,118.08,1.384766,41
-0.77946,139.5,123.66,1.678711,40
-0.93936,256.5,133.92,-1.723633,40
-0.62208,414,150.48,-2.104492,40
-0.30144,470.769231,168.84,-2.770508,39
0.13926,531,-169.92,-3.245117,40
0.61236,513,-149.4,-3.091797,40
1.08696,445.5,-131.58,-2.334961,40
1.45692,337.5,-118.08,-1.782227,40
1.69872,207,-109.8,-1.195312,40
1.85502,76.5,-106.74,-0.763672,40
1.9566,-49.5,-108.72,-0.80957,40
1.86168,-180,-115.92,3.189453,40
1.43574,-328.5,-129.06,0.980469,40
1.2582,-390.731707,-145.08,1.400391,41
1.00776,-480,-163.8,2.013672,39
0.64374,-531.219512,174.42,2.668945,41
0.22788,-526.5,153.36,2.483398,40
-0.12288,-459,135,1.764648,40
-0.37116,-355.5,120.78,1.419922,40
-0.58008,-240,111.42,1.379883,39
-0.78744,-114.146341,106.74,1.095703,41
-0.94122,13.5,107.28,0.857422,40
-1.08222,135,112.68,1.033203,40
-1.17498,270,123.48,-1.166992,40
-0.96402,400.5,139.5,-1.556641,40
-0.70182,499.5,159.48,-2.224609,40
-0.3381,562.5,-178.02,-2.857422,40
